"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"BT1";"BAT-HLD-001-TR";"BAT-HLD-001-TR";"BAT_BAT-HLD-001-TR";"Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab Check availability";"In Stock";" Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab ";"Linx";"BAT-HLD-001-TR";"None";"";"None";"https://pricing.snapeda.com/search/part/BAT-HLD-001-TR/?ref=eda";"";
"C1";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"0.1u";"";"";"C";
"C2";"0.22uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";
"C3";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";
"C4";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"0.1u";"";"";"C";
"C5";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";
"C6";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";
"C7";"2uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";
"C8";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"";"";"C";
"C9";"0.01uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"0.1u";"";"";"C";
"DEBUG";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";"";"";"";"";"";"";"";"";
"JLINK";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";"";"";"";"";"";"";"";"";
"L1";"10uH";"L-USL0805";"L0805";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";
"LED_G";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"20";"";"";"";
"LED_R";"";"LEDSMT1206";"1206";"LED";"";"";"";"";"";"20";"";"";"";
"PL2303";"1X4-CLEANBIG";"1X4-CLEANBIG";"1X04-CLEANBIG";"4-pin connector";"";"";"";"";"";"";"";"";"";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R3";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R4";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R6";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R7";"2k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R8";"0.4";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R9";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R10";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R11";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R12";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"R13";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"86";"";"";"R";
"TPS_783XX1";"TPS_783XX";"TPS_783XX";"SOT65P280X145-5N";"";"";"";"";"";"";"";"";"";"";
"U$1";"MICRO_USB_CONNECTOR";"MICRO_USB_CONNECTOR";"MICRO_USB_4LEGS";"";"";"";"";"";"";"";"";"";"";
"U$2";"TP4056";"TP4056";"SOP8";"";"";"";"";"";"";"";"";"";"";
"U$3";"SD103ATW";"SD103ATW";"SOT363";"";"";"";"";"";"";"";"";"";"";
"U$4";"SWITCH";"SWITCH";"SWITCH_2PIN";"";"";"";"";"";"";"";"";"";"";
"U$5";"SWITCH";"SWITCH";"SWITCH_2PIN";"";"";"";"";"";"";"";"";"";"";
"U$6";"SWITCH";"SWITCH";"SWITCH_2PIN";"";"";"";"";"";"";"";"";"";"";
"U1";"E73-2G4M08S1C";"E73-2G4M08S1C";"E73-2G4M08S1C";"Check availability";"Not in stock";" E73 series are wireless Bluetooth modules designed by Chengdu Ebyte which feature small size, low power consumption, built-in PCB antenna and IPX interface ";"EBYTE";"E73-2G4M08S1C";"Package ";"";"None";"";"";
"U2";"MPU-9250";"MPU-9250";"QFN40P300X300X105-24N";"Axis=3 Axis Gyro+3 Axis Accel+Compass. Pin For Pin With m Check availability";"In Stock";" Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I²C, SPI Output ";"TDK InvenSense";"MPU-9250";"TFQFN-24 TDK InvenSense";"";"None";"";"";
"U3";"BM1383AGLV-ZE2";"BM1383AGLV-ZE2";"PQFN55P250X250X100-12N";"Pressure Sensor 30kPa to 110kPa 12-Pin CLGA T/R Check prices";"Good";" 壓力傳感器4.35PSI〜15.95PSI（30kPa〜110kPa）絕對16 b 12-VFLGA ";"Rohm";"BM1383AGLV-ZE2";"VFLGA-12 Rohm";"";"None";"https://pricing.snapeda.com/search/part/BM1383AGLV-ZE2/?ref=eda";"";
